"Mes","Real","M1_SARIMA_211_011","M2_SARIMA_210_210","M3_SARIMA_111_011","M4_SARIMA_210_011"
2023-01-01,138348,128011.331879887,125588.303820831,126481.268041934,130791.992703138
2023-02-01,141127,132822.49526347,136209.583158039,130008.35941691,136023.886149699
2023-03-01,166489,154103.001486716,228318.632105473,154977.544650447,155902.456350535
2023-04-01,146446,124423.554629736,70499.7955292295,119555.867207388,127089.250366207
2023-05-01,165673,144365.431930326,123409.930822754,141634.861370882,148811.314653873
2023-06-01,160942,149481.212361403,209438.774289944,150516.065718252,152702.701878334
2023-07-01,147412,125965.615239826,102241.849411517,125629.1223708,128094.539269084
2023-08-01,124778,99719.1214089779,85429.7520693681,100842.731152091,102203.41925452
2023-09-01,166049,135045.830551981,114803.858386994,136553.390746034,137787.020090317
2023-10-01,180951,152693.789482178,126114.685588874,152953.835222999,156067.581650531
2023-11-01,174577,143559.611281417,120200.140352957,145499.105380619,147612.058877143
2023-12-01,157288,133987.223741432,116514.394525995,135288.512097842,137595.091558745
