"Mes","Prevision","IC95_inferior","IC95_superior"
2024-01-01,158362.313062183,116409.254646727,210591.15458565
2024-02-01,162772.753574975,118337.657412886,218511.408885746
2024-03-01,186161.311995295,134622.314662642,251046.850384132
2024-04-01,154168.169803431,104190.501648377,220042.480693304
2024-05-01,179224.684993732,119042.740107414,259477.796173532
2024-06-01,182598.030858001,119998.258467939,266672.773159895
2024-07-01,155039.07902775,98316.9872011332,233051.522757937
2024-08-01,124090.795090363,77240.3424488121,189325.3785345
2024-09-01,166867.167054408,102462.991482799,257352.322300057
2024-10-01,188812.653143322,113143.391524179,296843.74492103
2024-11-01,178754.103231259,105214.435419957,284982.644346154
2024-12-01,166016.5441321,96286.9552572155,267714.594732438
